ID,Place (x),Knowledge (y),Action (z),K5Name
3623,-0.624,-0.651,0.562,Ecospirituality
3637,-0.141,-0.41,0.008,Ecospirituality
3638,-0.578,-0.246,0.305,Ecospirituality
3639,-0.378,-0.175,0.146,Ecospirituality
3646,-0.347,-0.303,0.167,Ecospirituality
3651,-0.376,-0.634,-0.079,Ecospirituality
3652,-0.569,-0.469,0.368,Ecospirituality
3657,-0.607,-0.422,0.041,Ecospirituality
3661,-0.507,-0.015,0.221,Ecospirituality
3664,-0.489,-0.374,0.158,Ecospirituality
3665,-0.28,-0.069,0.256,Ecospirituality
3669,-0.484,-0.442,-0.002,Ecospirituality
3673,-0.363,-0.183,0.257,Ecospirituality
3683,-0.583,-0.096,0.571,Ecospirituality
3684,-0.397,-0.683,0.102,Ecospirituality
3704,-0.383,-0.083,0.186,Ecospirituality
3723,-0.741,-0.091,0.118,Ecospirituality
3730,-0.437,-0.293,0.341,Ecospirituality
3747,-0.559,-0.284,0.183,Ecospirituality
3762,-0.646,-0.091,0.618,Ecospirituality
3769,-0.93,-0.55,0.82,Ecospirituality
3782,-0.557,-0.071,0.34,Ecospirituality
3785,-0.257,-0.254,0.012,Ecospirituality
3787,-0.894,-0.275,-0.064,Ecospirituality
3815,-0.265,-0.56,-0.135,Ecospirituality
3828,-0.443,-0.152,0.09,Ecospirituality
3829,-0.924,-0.888,0.307,Ecospirituality
3842,-0.636,-0.208,-0.206,Ecospirituality
3858,-0.369,-0.057,0.31,Ecospirituality
3862,-0.579,-0.426,0.057,Ecospirituality
3881,-0.621,-0.238,0.091,Ecospirituality
3882,-0.392,-0.342,0.254,Ecospirituality
4012,-0.558,-0.112,0.417,Ecospirituality
4016,-0.549,-0.26,-0.017,Ecospirituality
4022,-0.431,-0.251,-0.11,Ecospirituality
4035,-0.401,-0.142,0.167,Ecospirituality
4042,-0.419,-0.083,0.125,Ecospirituality
4046,-0.448,-0.403,-0.042,Ecospirituality
4054,-0.53,-0.042,0.509,Ecospirituality
4058,-0.548,-0.626,0.023,Ecospirituality
4068,-0.756,-0.388,0.696,Ecospirituality
4076,-0.448,-0.115,0.163,Ecospirituality
4090,-0.358,-0.276,0.349,Ecospirituality
4143,-0.507,-0.524,-0.203,Ecospirituality
4148,-0.413,-0.316,-0.119,Ecospirituality
4151,-0.692,-0.641,-0.381,Ecospirituality
4180,-0.114,-0.309,0.09,Ecospirituality
4209,-0.357,-0.464,0.228,Ecospirituality
4227,-0.511,-0.26,0.434,Ecospirituality
4265,-0.458,-0.259,0.254,Ecospirituality
4273,-0.293,-0.157,0.163,Ecospirituality
4293,-0.408,-0.077,0.361,Ecospirituality
4340,-0.536,-0.189,-0.175,Ecospirituality
4347,-0.717,-0.407,0.191,Ecospirituality
4353,-0.735,-0.674,0.273,Ecospirituality
4362,-0.31,-0.132,0.231,Ecospirituality
4402,-0.6,-0.385,0.566,Ecospirituality
4406,-0.469,-0.04,0.113,Ecospirituality
4430,-0.376,-0.23,0.178,Ecospirituality
4440,-0.34,-0.191,0.326,Ecospirituality
4453,-0.274,-0.355,0.083,Ecospirituality
4464,-0.411,-0.306,0.064,Ecospirituality
4514,-0.449,-0.408,0.199,Ecospirituality
4517,-0.735,-0.823,-0.061,Ecospirituality
4526,-0.554,-0.399,-0.304,Ecospirituality
4540,-0.487,-0.308,0.237,Ecospirituality
4547,-0.395,-0.521,-0.251,Ecospirituality
4565,-0.452,-0.17,0.361,Ecospirituality
4570,-0.338,-0.337,0.223,Ecospirituality
4630,-0.452,-0.275,0.159,Ecospirituality
4637,-0.614,-0.638,-0.096,Ecospirituality
4723,-0.267,-0.279,0.159,Ecospirituality
4752,-0.331,-0.166,0.234,Ecospirituality
4758,-0.323,-0.311,0.126,Ecospirituality
4762,-0.515,-0.522,-0.248,Ecospirituality
4763,-0.354,-0.303,-0.009,Ecospirituality
4764,-0.581,-0.104,0.468,Ecospirituality
4775,-0.525,-0.134,0.289,Ecospirituality
4785,-0.263,-0.397,0.074,Ecospirituality
4802,-0.409,-0.507,-0.29,Ecospirituality
4811,-0.801,-0.303,0.171,Ecospirituality
4826,-0.432,-0.23,-0.074,Ecospirituality
4839,-0.408,-0.104,0.336,Ecospirituality
4841,-0.393,-0.244,0.091,Ecospirituality
4860,-0.683,-0.15,0.004,Ecospirituality
4863,-0.406,-0.096,0.022,Ecospirituality
4875,-0.424,-0.221,0.135,Ecospirituality
4902,-0.31,-0.095,0.153,Ecospirituality
4920,-0.403,-0.395,0.198,Ecospirituality
4921,-0.201,-0.187,0.201,Ecospirituality
4926,-0.763,-0.418,0.245,Ecospirituality
4933,-0.149,-0.383,0.117,Ecospirituality
4935,-0.463,-0.102,0.346,Ecospirituality
4936,-0.518,-0.021,0.296,Ecospirituality
4967,-0.362,-0.413,0.001,Ecospirituality
4993,-0.727,-0.548,-0.019,Ecospirituality
5001,-0.218,-0.191,0.186,Ecospirituality
5002,-0.107,-0.473,-0.05,Ecospirituality
5029,-0.264,-0.573,-0.112,Ecospirituality
5040,-0.447,-0.046,0.235,Ecospirituality
5049,-0.405,-0.238,0.207,Ecospirituality
3208,-0.009,-0.297,0.745,Indigenous Justice
3212,-0.077,-0.301,0.347,Indigenous Justice
3224,-0.39,-0.554,0.672,Indigenous Justice
3229,-0.234,-0.339,0.511,Indigenous Justice
3244,-0.159,-0.026,0.59,Indigenous Justice
3249,0.188,-0.071,0.89,Indigenous Justice
3284,0.206,-0.357,0.11,Indigenous Justice
3286,0.199,-0.577,0.55,Indigenous Justice
3292,0.07,-0.177,0.275,Indigenous Justice
3296,-0.254,-0.279,0.344,Indigenous Justice
3298,-0.407,-0.06,0.444,Indigenous Justice
3302,-0.169,-0.014,0.623,Indigenous Justice
3308,-0.13,-0.577,0.661,Indigenous Justice
3313,-0.13,-0.095,0.625,Indigenous Justice
3314,0.098,-0.144,0.311,Indigenous Justice
3327,-0.396,-0.069,0.413,Indigenous Justice
3328,-0.178,-0.67,0.514,Indigenous Justice
3348,-0.286,-0.317,0.453,Indigenous Justice
3350,-0.228,-0.132,0.241,Indigenous Justice
3351,-0.203,-0.095,0.452,Indigenous Justice
3352,-0.445,-0.152,0.777,Indigenous Justice
3356,-0.201,-0.27,0.243,Indigenous Justice
3361,-0.236,-0.295,0.488,Indigenous Justice
3364,-0.187,-0.187,0.659,Indigenous Justice
3367,-0.151,-0.254,0.373,Indigenous Justice
3383,-0.009,-0.077,0.446,Indigenous Justice
3384,-0.249,-0.03,0.415,Indigenous Justice
3407,-0.561,-0.25,0.603,Indigenous Justice
3412,-0.125,-0.166,0.416,Indigenous Justice
3416,-0.579,-0.645,0.711,Indigenous Justice
3430,0.039,-0.095,0.688,Indigenous Justice
3449,-0.132,-0.248,0.517,Indigenous Justice
3463,-0.109,-0.051,0.617,Indigenous Justice
3471,-0.397,-0.091,0.482,Indigenous Justice
3478,-0.582,-0.028,0.59,Indigenous Justice
3502,-0.334,-0.038,0.738,Indigenous Justice
3505,-0.166,-0.166,0.44,Indigenous Justice
3506,-0.237,-0.022,0.409,Indigenous Justice
3518,-0.019,-0.226,0.223,Indigenous Justice
3520,-0.079,-0.166,0.234,Indigenous Justice
3521,-0.076,-0.327,0.672,Indigenous Justice
3528,0.227,-0.204,0.71,Indigenous Justice
3529,-0.383,-0.516,0.829,Indigenous Justice
3543,-0.591,-0.036,0.747,Indigenous Justice
3548,-0.401,-0.062,0.538,Indigenous Justice
3556,0.01,-0.329,0.173,Indigenous Justice
3562,-0.324,-0.312,0.394,Indigenous Justice
3564,-0.137,-0.35,0.677,Indigenous Justice
3572,-0.161,-0.15,0.481,Indigenous Justice
3573,0.155,-0.478,0.506,Indigenous Justice
3574,-0.217,-0.109,0.666,Indigenous Justice
3581,-0.561,-0.045,0.582,Indigenous Justice
3591,-0.239,-0.416,0.309,Indigenous Justice
3597,0.134,-0.099,0.309,Indigenous Justice
3601,-0.316,-0.028,0.379,Indigenous Justice
3607,-0.054,-0.011,0.267,Indigenous Justice
3608,-0.393,-0.169,0.53,Indigenous Justice
3620,-0.355,-0.128,0.511,Indigenous Justice
3621,-0.085,-0.454,0.361,Indigenous Justice
3631,-0.155,-0.375,0.27,Indigenous Justice
3634,-0.162,-0.032,0.564,Indigenous Justice
3636,-0.309,-0.096,0.313,Indigenous Justice
3642,-0.136,-0.215,0.627,Indigenous Justice
3660,-0.199,-0.079,0.395,Indigenous Justice
