ID,Place (x),Knowledge (y),Action (z),K5Name
4497,-0.196,-0.204,0.42,Indigenous Justice
4535,-0.142,-0.367,0.695,Indigenous Justice
4592,0.135,-0.16,0.403,Indigenous Justice
4596,-0.034,-0.458,0.153,Indigenous Justice
4737,-0.135,-0.386,0.778,Indigenous Justice
4757,-0.258,-0.23,0.322,Indigenous Justice
4759,0.023,-0.128,0.204,Indigenous Justice
4761,-0.183,-0.442,0.227,Indigenous Justice
4765,-0.317,-0.24,0.53,Indigenous Justice
4771,-0.186,-0.403,0.734,Indigenous Justice
4800,-0.372,-0.429,0.621,Indigenous Justice
4859,-0.384,-0.305,0.844,Indigenous Justice
4866,-0.237,-0.14,0.41,Indigenous Justice
4870,-0.062,-0.032,0.277,Indigenous Justice
4911,0.035,-0.305,0.496,Indigenous Justice
4912,-0.41,-0.263,0.616,Indigenous Justice
4922,-0.089,-0.446,0.349,Indigenous Justice
4945,0.072,-0.342,0.172,Indigenous Justice
4957,-0.012,-0.407,0.272,Indigenous Justice
4981,-0.105,-0.022,0.328,Indigenous Justice
4991,-0.091,-0.14,0.249,Indigenous Justice
4994,-0.183,-0.464,0.481,Indigenous Justice
4998,-0.413,-0.07,0.596,Indigenous Justice
5032,-0.551,-0.267,0.639,Indigenous Justice
5033,-0.551,-0.267,0.639,Indigenous Justice
5035,-0.549,-0.248,0.611,Indigenous Justice
5037,-0.391,-0.057,0.742,Indigenous Justice
5039,-0.437,-0.119,0.465,Indigenous Justice
5041,-0.084,-0.17,0.173,Indigenous Justice
5043,-0.177,-0.281,0.233,Indigenous Justice
